id,rc_key,date,shift,sampleno,part,model,ref,id_ukur,parameter,deviation,category,description,corrective_action,status,inputted_by,inputted_role,pic,inputted_at,updated_at
9c49df30,07 Apr 2026|1|4|CRCS L|K1AL L1|A151|Posisi Y Drill 6.45,07 Apr 2026,1,4,CRCS L,K1AL L1,A151,N0482,Posisi Y Drill 6.45,0.203,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,operator_3,Produksi,Rini,2026-04-07 14:23:18,2026-04-07 16:43:18
3c3c10e6,07 Apr 2026|1|4|CRCS L|K1AL L1|-|-,07 Apr 2026,1,4,CRCS L,K1AL L1,-,N0520,-,33.0,Tooling,Coolant tersumbat menyebabkan panas berlebih,,Investigated,operator_1,Produksi,Andi,2026-04-07 14:34:18,2026-04-07 15:18:18
3d87dfab,07 Apr 2026|1|4|CRCS L|K1AL L1|B018|Position To f & g,07 Apr 2026,1,4,CRCS L,K1AL L1,B018,N0525,Position To f & g,0.332,Material,Material dari batch berbeda dengan properties berbeda,Preventive maintenance dijadwalkan,Investigated,produksi_c,Produksi,Dani,2026-04-07 14:32:18,2026-04-07 15:30:18
615ad16b,07 Apr 2026|1|5|CRCS L|K1AL L1|B073|Posisi Y,07 Apr 2026,1,5,CRCS L,K1AL L1,B073,N0201,Posisi Y,-0.202,Mesin / Machine,Spindle wear terdeteksi pada sumbu X,Material dikembalikan ke gudang untuk inspeksi ulang,Resolved,operator_2,Produksi,,2026-04-07 12:49:18,2026-04-07 14:09:18
5a5d0cc7,07 Apr 2026|1|5|CRCS L|K1AL L1|B075|Posisi Y,07 Apr 2026,1,5,CRCS L,K1AL L1,B075,N0213,Posisi Y,-0.292,Tooling,Holder tool longgar saat proses machining,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,produksi_c,Produksi,Rini,2026-04-07 12:13:18,2026-04-07 14:17:18
a0125b88,07 Apr 2026|1|5|CRCS L|K1AL L1|-|-,07 Apr 2026,1,5,CRCS L,K1AL L1,-,N0259,-,-0.055,Lainnya,Kemungkinan kombinasi beberapa faktor,,Investigated,produksi_c,Produksi,Budi,2026-04-07 11:46:18,2026-04-07 12:29:18
565acf29,07 Apr 2026|1|5|CRCS L|K1AL L1|B054|Posisi Y,07 Apr 2026,1,5,CRCS L,K1AL L1,B054,N0313,Posisi Y,-0.229,Mesin / Machine,Thermal expansion mesin akibat suhu ruangan,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,operator_2,Produksi,Dani,2026-04-07 14:05:18,2026-04-07 16:49:18
22fbd0cb,07 Apr 2026|1|5|CRCS L|K1AL L1|-|-,07 Apr 2026,1,5,CRCS L,K1AL L1,-,N0399,-,-0.091,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,"Part di-rework, re-measurement setelah proses",Investigated,produksi_a,Produksi,Hendra,2026-04-07 13:44:18,2026-04-07 16:42:18
3c20e8fa,07 Apr 2026|1|5|CRCS L|K1AL L1|-|-,07 Apr 2026,1,5,CRCS L,K1AL L1,-,N0449,-,0.031,Mesin / Machine,Kalibrasi probe terlambat dilakukan,Material dikembalikan ke gudang untuk inspeksi ulang,Open,produksi_b,Produksi,Rini,2026-04-07 12:49:18,2026-04-07 13:56:18
d00296fe,07 Apr 2026|1|5|CRCS L|K1AL L1|-|-,07 Apr 2026,1,5,CRCS L,K1AL L1,-,N0452,-,-0.5,Program CMM,Reference point tidak ter-update setelah perubahan fixture,"Part di-rework, re-measurement setelah proses",Investigated,operator_2,Produksi,Andi,2026-04-07 11:32:18,2026-04-07 12:47:18
32686d46,07 Apr 2026|1|5|CRCS L|K1AL L1|A006|Concentricity to m,07 Apr 2026,1,5,CRCS L,K1AL L1,A006,N0488,Concentricity to m,0.031,Material,Surface finish tidak memenuhi syarat pengukuran CMM,,Resolved,operator_2,Produksi,Sari,2026-04-07 11:16:18,2026-04-07 12:18:18
ddd05b66,07 Apr 2026|1|5|CRCS L|K1AL L1|B025|Position to d & e,07 Apr 2026,1,5,CRCS L,K1AL L1,B025,N0503,Position to d & e,0.112,Tooling,Tool wear melebihi batas — perlu penggantian,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Resolved,produksi_b,Produksi,Hendra,2026-04-07 12:03:18,2026-04-07 15:00:18
02a08944,07 Apr 2026|1|5|CRCS L|K1AL L1|B010|Position To d & e,07 Apr 2026,1,5,CRCS L,K1AL L1,B010,N0503,Position To d & e,0.112,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,Koordinasi dengan engineering untuk review toleransi di drawing,Investigated,produksi_b,Produksi,Budi,2026-04-07 11:09:18,2026-04-07 12:24:18
d31618b3,07 Apr 2026|1|5|CRCS L|K1AL L1|-|-,07 Apr 2026,1,5,CRCS L,K1AL L1,-,N0520,-,33.0,Lainnya,Faktor eksternal — sedang diinvestigasi,"Part di-rework, re-measurement setelah proses",Investigated,operator_2,Produksi,Hendra,2026-04-07 13:28:18,2026-04-07 15:49:18
6ec04285,07 Apr 2026|1|6|CRCS L|K1AL L1|A042|Posisi Y,07 Apr 2026,1,6,CRCS L,K1AL L1,A042,N0088,Posisi Y,-0.28,Operator,Tidak melakukan verifikasi awal sebelum produksi,Fixture di-check dan di-realign ke posisi nominal,Investigated,operator_2,Produksi,Wahyu,2026-04-07 12:48:18,2026-04-07 15:28:18
6b9c1179,07 Apr 2026|1|6|CRCS L|K1AL L1|A020|Posisi Y,07 Apr 2026,1,6,CRCS L,K1AL L1,A020,N0154,Posisi Y,-0.216,Tooling,Coolant tersumbat menyebabkan panas berlebih,,Investigated,operator_1,Produksi,Rini,2026-04-07 14:31:18,2026-04-07 15:38:18
d325d5fb,07 Apr 2026|1|6|CRCS L|K1AL L1|B011|Posisi Y Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,B011,N0252,Posisi Y Reamer 8H8,0.053,Material,Burr pada permukaan part mempengaruhi pengukuran,Laporan diteruskan ke supervisor untuk tindak lanjut,Resolved,produksi_a,Produksi,Sari,2026-04-07 13:24:18,2026-04-07 14:55:18
fcc2c48a,07 Apr 2026|1|6|CRCS L|K1AL L1|B012|Posisi X From B011 Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,B012,N0266,Posisi X From B011 Reamer 8H8,-0.064,Material,Burr pada permukaan part mempengaruhi pengukuran,,Resolved,produksi_b,Produksi,Andi,2026-04-07 13:23:18,2026-04-07 15:51:18
2546a368,07 Apr 2026|1|6|CRCS L|K1AL L1|B012|Posisi Y From B011 Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,B012,N0266,Posisi Y From B011 Reamer 8H8,0.085,Lainnya,Faktor eksternal — sedang diinvestigasi,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,operator_2,Produksi,Hendra,2026-04-07 12:26:18,2026-04-07 12:52:18
a921aa40,07 Apr 2026|1|6|CRCS L|K1AL L1|B072|Posisi Y,07 Apr 2026,1,6,CRCS L,K1AL L1,B072,N0333,Posisi Y,0.216,Tooling,Tool life habis namun belum diganti,,Investigated,produksi_c,Produksi,Budi,2026-04-07 12:03:18,2026-04-07 14:02:18
c85e0bd4,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0351,-,0.296,Operator,Salah membaca program CMM yang aktif,Fixture di-check dan di-realign ke posisi nominal,Investigated,produksi_b,Produksi,Budi,2026-04-07 12:57:18,2026-04-07 13:13:18
260810a0,07 Apr 2026|1|6|CRCS L|K1AL L1|B081|Posisi X From B080,07 Apr 2026,1,6,CRCS L,K1AL L1,B081,N0372,Posisi X From B080,0.102,Program CMM,Probe approach speed terlalu cepat,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,produksi_b,Produksi,Andi,2026-04-07 13:08:18,2026-04-07 16:08:18
5dc9bbc2,07 Apr 2026|1|6|CRCS L|K1AL L1|B081|Posisi Y From B080,07 Apr 2026,1,6,CRCS L,K1AL L1,B081,N0372,Posisi Y From B080,-0.12,Tooling,Coolant tersumbat menyebabkan panas berlebih,Fixture di-check dan di-realign ke posisi nominal,Investigated,operator_3,Produksi,,2026-04-07 12:10:18,2026-04-07 12:17:18
89d14bc5,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0377,-,0.152,Operator,Part terbalik saat mounting ke fixture,"Part di-rework, re-measurement setelah proses",Resolved,operator_1,Produksi,Dani,2026-04-07 12:01:18,2026-04-07 14:50:18
ed65bd77,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0392,-,-0.235,Program CMM,Tolerance setting program belum sesuai revisi drawing terbaru,Laporan diteruskan ke supervisor untuk tindak lanjut,Resolved,operator_2,Produksi,Wahyu,2026-04-07 12:05:18,2026-04-07 14:30:18
dcc0cbd6,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0398,-,-0.091,Setup / Fixture,Posisi fixture tidak di-verify ulang setelah maintenance,Fixture di-check dan di-realign ke posisi nominal,Resolved,operator_2,Produksi,Budi,2026-04-07 12:26:18,2026-04-07 12:27:18
944c25b5,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0399,-,-0.131,Tooling,Tool life habis namun belum diganti,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,operator_2,Produksi,Andi,2026-04-07 14:24:18,2026-04-07 14:42:18
fa0cf705,07 Apr 2026|1|6|CRCS L|K1AL L1|A151|Posisi X Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,A151,N0409,Posisi X Reamer 8H8,-0.08,Program CMM,Reference point tidak ter-update setelah perubahan fixture,Preventive maintenance dijadwalkan,Investigated,operator_2,Produksi,Sari,2026-04-07 11:55:18,2026-04-07 12:58:18
f72d5d20,07 Apr 2026|1|6|CRCS L|K1AL L1|A151|Posisi Y Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,A151,N0409,Posisi Y Reamer 8H8,-0.203,Lainnya,Faktor eksternal — sedang diinvestigasi,Preventive maintenance dijadwalkan,Investigated,produksi_a,Produksi,Andi,2026-04-07 11:36:18,2026-04-07 13:00:18
745aaa01,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0429,-,0.092,Operator,Salah membaca program CMM yang aktif,,Investigated,operator_3,Produksi,,2026-04-07 12:50:18,2026-04-07 14:27:18
73e25d21,07 Apr 2026|1|6|CRCS L|K1AL L1|A152|Posisi Y Reamer 8H8,07 Apr 2026,1,6,CRCS L,K1AL L1,A152,N0429,Posisi Y Reamer 8H8,-0.135,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,produksi_b,Produksi,Wahyu,2026-04-07 12:25:18,2026-04-07 13:55:18
1f460c69,07 Apr 2026|1|6|CRCS L|K1AL L1|A160|Posisi Y,07 Apr 2026,1,6,CRCS L,K1AL L1,A160,N0434,Posisi Y,0.268,Material,Burr pada permukaan part mempengaruhi pengukuran,Operator di-brief ulang terkait SOP setup dan mounting,Investigated,produksi_b,Produksi,Rini,2026-04-07 12:48:18,2026-04-07 13:39:18
309c9c4f,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0452,-,-0.5,Tooling,Coolant tersumbat menyebabkan panas berlebih,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Investigated,operator_2,Produksi,Dani,2026-04-07 14:18:18,2026-04-07 14:42:18
b3944234,07 Apr 2026|1|6|CRCS L|K1AL L1|B018|Distance From B027,07 Apr 2026,1,6,CRCS L,K1AL L1,B018,N0476,Distance From B027,-0.228,Mesin / Machine,Spindle wear terdeteksi pada sumbu X,Program CMM diupdate sesuai revisi drawing terbaru,Resolved,produksi_c,Produksi,Andi,2026-04-07 11:21:18,2026-04-07 14:15:18
372f7ad4,07 Apr 2026|1|6|CRCS L|K1AL L1|B017|Distance From B027,07 Apr 2026,1,6,CRCS L,K1AL L1,B017,N0478,Distance From B027,0.126,Setup / Fixture,Fixture bergeser setelah pergantian shift,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Open,operator_1,Produksi,Dani,2026-04-07 11:07:18,2026-04-07 12:30:18
5d024d18,07 Apr 2026|1|6|CRCS L|K1AL L1|B025|Position to d & e,07 Apr 2026,1,6,CRCS L,K1AL L1,B025,N0503,Position to d & e,0.106,Mesin / Machine,Kalibrasi probe terlambat dilakukan,Fixture di-check dan di-realign ke posisi nominal,Resolved,produksi_b,Produksi,Hendra,2026-04-07 12:41:18,2026-04-07 12:58:18
911f146a,07 Apr 2026|1|6|CRCS L|K1AL L1|B010|Position To d & e,07 Apr 2026,1,6,CRCS L,K1AL L1,B010,N0503,Position To d & e,0.106,Tooling,Insert patah tidak terdeteksi sebelum produksi,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,produksi_a,Produksi,Sari,2026-04-07 12:01:18,2026-04-07 13:29:18
e385ed8c,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0510,-,0.292,Program CMM,Reference point tidak ter-update setelah perubahan fixture,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Investigated,operator_2,Produksi,Sari,2026-04-07 14:06:18,2026-04-07 14:51:18
031ad2c0,07 Apr 2026|1|6|CRCS L|K1AL L1|-|-,07 Apr 2026,1,6,CRCS L,K1AL L1,-,N0520,-,33.0,Lainnya,Penyebab masih dalam investigasi lebih lanjut,Fixture di-check dan di-realign ke posisi nominal,Resolved,produksi_a,Produksi,Dani,2026-04-07 11:15:18,2026-04-07 13:32:18
f3f309b1,07 Apr 2026|1|6|CRCS L|K1AL L1|B018|Position To f & g,07 Apr 2026,1,6,CRCS L,K1AL L1,B018,N0525,Position To f & g,0.67,Material,Burr pada permukaan part mempengaruhi pengukuran,Fixture di-check dan di-realign ke posisi nominal,Open,produksi_a,Produksi,,2026-04-07 13:18:18,2026-04-07 14:00:18
8c553f9b,07 Apr 2026|2|1|CRCS L|K1AL L1|A041|Posisi Y,07 Apr 2026,2,1,CRCS L,K1AL L1,A041,N0084,Posisi Y,0.267,Setup / Fixture,Fixture bergeser setelah pergantian shift,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,operator_2,Produksi,Wahyu,2026-04-07 22:04:46,2026-04-08 00:52:46
2243ef88,07 Apr 2026|2|1|CRCS L|K1AL L1|A042|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,A042,N0088,Posisi X,-0.331,Lainnya,Penyebab masih dalam investigasi lebih lanjut,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,produksi_c,Produksi,Hendra,2026-04-07 22:29:46,2026-04-07 22:45:46
a0bc0b66,07 Apr 2026|2|1|CRCS L|K1AL L1|A042|Posisi Y,07 Apr 2026,2,1,CRCS L,K1AL L1,A042,N0088,Posisi Y,0.368,Material,Surface finish tidak memenuhi syarat pengukuran CMM,"Tool diganti, measurement diulang dan hasilnya OK",Open,produksi_a,Produksi,Rini,2026-04-07 23:31:46,2026-04-08 01:14:46
cf22d166,07 Apr 2026|2|1|CRCS L|K1AL L1|A047|Posisi Y,07 Apr 2026,2,1,CRCS L,K1AL L1,A047,N0108,Posisi Y,-0.257,Mesin / Machine,Backlash axis melebihi batas toleransi,,Resolved,produksi_a,Produksi,Andi,2026-04-07 22:56:46,2026-04-08 01:27:46
d2870dfa,07 Apr 2026|2|1|CRCS L|K1AL L1|B078|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,B078,N0123,Posisi X,0.21,Tooling,Tool life habis namun belum diganti,Fixture di-check dan di-realign ke posisi nominal,Resolved,operator_2,Produksi,Wahyu,2026-04-07 22:35:46,2026-04-08 01:34:46
65f373d4,07 Apr 2026|2|1|CRCS L|K1AL L1|B076|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,B076,N0217,Posisi X,-0.224,Lainnya,Belum dapat diidentifikasi — perlu analisis lanjut,Operator di-brief ulang terkait SOP setup dan mounting,Investigated,operator_1,Produksi,Hendra,2026-04-07 21:30:46,2026-04-07 22:04:46
284f769b,07 Apr 2026|2|1|CRCS L|K1AL L1|B054|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,B054,N0313,Posisi X,-0.203,Material,Surface finish tidak memenuhi syarat pengukuran CMM,"Part di-rework, re-measurement setelah proses",Resolved,produksi_a,Produksi,,2026-04-07 21:59:46,2026-04-07 23:35:46
ead4a37e,07 Apr 2026|2|1|CRCS L|K1AL L1|A026|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,A026,N0356,Posisi X,0.251,Mesin / Machine,Thermal expansion mesin akibat suhu ruangan,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,operator_1,Produksi,Dani,2026-04-07 22:11:46,2026-04-08 00:47:46
95b3ce5d,07 Apr 2026|2|1|CRCS L|K1AL L1|B026|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,B026,N0356,Posisi X,0.251,Operator,Operator baru belum familiar dengan prosedur,,Resolved,produksi_a,Produksi,Budi,2026-04-07 23:03:46,2026-04-08 02:01:46
73130d0a,07 Apr 2026|2|1|CRCS L|K1AL L1|B081|Posisi X From B080,07 Apr 2026,2,1,CRCS L,K1AL L1,B081,N0372,Posisi X From B080,0.193,Setup / Fixture,Clamp longgar menyebabkan pergeseran part,Fixture di-check dan di-realign ke posisi nominal,Resolved,operator_2,Produksi,Sari,2026-04-07 23:19:46,2026-04-08 01:45:46
d3c5c9ae,07 Apr 2026|2|1|CRCS L|K1AL L1|-|-,07 Apr 2026,2,1,CRCS L,K1AL L1,-,N0399,-,-0.111,Tooling,Tool wear melebihi batas — perlu penggantian,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,produksi_c,Produksi,Wahyu,2026-04-07 20:15:46,2026-04-07 20:27:46
fb935bfa,07 Apr 2026|2|1|CRCS L|K1AL L1|-|-,07 Apr 2026,2,1,CRCS L,K1AL L1,-,N0425,-,0.053,Setup / Fixture,Fixture bergeser setelah pergantian shift,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Investigated,operator_1,Produksi,Sari,2026-04-07 23:38:46,2026-04-08 02:33:46
83884950,07 Apr 2026|2|1|CRCS L|K1AL L1|A153|Posisi X,07 Apr 2026,2,1,CRCS L,K1AL L1,A153,N0430,Posisi X,0.229,Program CMM,Probe approach speed terlalu cepat,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,produksi_b,Produksi,Hendra,2026-04-07 20:33:46,2026-04-07 22:30:46
6cf0c058,07 Apr 2026|2|1|CRCS L|K1AL L1|-|-,07 Apr 2026,2,1,CRCS L,K1AL L1,-,N0449,-,0.039,Tooling,Insert patah tidak terdeteksi sebelum produksi,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Investigated,operator_3,Produksi,Budi,2026-04-07 21:00:46,2026-04-07 23:26:46
2cd236ce,07 Apr 2026|2|1|CRCS L|K1AL L1|-|-,07 Apr 2026,2,1,CRCS L,K1AL L1,-,N0452,-,-0.5,Mesin / Machine,Getaran mesin berlebih saat pengukuran,Preventive maintenance dijadwalkan,Resolved,produksi_a,Produksi,Hendra,2026-04-07 20:37:46,2026-04-07 21:51:46
f4ad0614,07 Apr 2026|2|1|CRCS L|K1AL L1|B017|Distance From B027,07 Apr 2026,2,1,CRCS L,K1AL L1,B017,N0478,Distance From B027,0.137,Tooling,Coolant tersumbat menyebabkan panas berlebih,Koordinasi dengan engineering untuk review toleransi di drawing,Resolved,produksi_c,Produksi,Wahyu,2026-04-07 21:47:46,2026-04-07 22:45:46
768e265e,07 Apr 2026|2|1|CRCS L|K1AL L1|A006|Concentricity to m,07 Apr 2026,2,1,CRCS L,K1AL L1,A006,N0488,Concentricity to m,0.035,Mesin / Machine,Kalibrasi probe terlambat dilakukan,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,produksi_c,Produksi,Wahyu,2026-04-07 22:47:46,2026-04-08 01:38:46
ef4176a6,07 Apr 2026|2|1|CRCS L|K1AL L1|-|-,07 Apr 2026,2,1,CRCS L,K1AL L1,-,N0520,-,33.0,Tooling,Coolant tersumbat menyebabkan panas berlebih,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,operator_1,Produksi,Budi,2026-04-07 22:55:46,2026-04-08 00:04:46
baf90e78,07 Apr 2026|2|1|CRCS L|K1AL L1|B018|Position To f & g,07 Apr 2026,2,1,CRCS L,K1AL L1,B018,N0525,Position To f & g,0.275,Operator,Salah membaca program CMM yang aktif,Operator di-brief ulang terkait SOP setup dan mounting,Resolved,produksi_c,Produksi,Budi,2026-04-07 20:56:46,2026-04-07 23:00:46
bfe5deaf,07 Apr 2026|2|1|CRCS L|K1AL L1|A002|Posisi Y From A001 ( Drill 6 ),07 Apr 2026,2,1,CRCS L,K1AL L1,A002,N0531,Posisi Y From A001 ( Drill 6 ),0.227,Tooling,Tool wear melebihi batas — perlu penggantian,Preventive maintenance dijadwalkan,Resolved,produksi_b,Produksi,Hendra,2026-04-07 23:24:46,2026-04-08 01:18:46
ec2631f7,07 Apr 2026|2|2|CRCS L|K1AL L1|A041|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A041,N0084,Posisi Y,0.544,Mesin / Machine,Spindle wear terdeteksi pada sumbu X,Koordinasi dengan engineering untuk review toleransi di drawing,Investigated,produksi_a,Produksi,Sari,2026-04-07 23:30:46,2026-04-08 01:35:46
8864d8fc,07 Apr 2026|2|2|CRCS L|K1AL L1|A042|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A042,N0088,Posisi Y,0.541,Program CMM,Tolerance setting program belum sesuai revisi drawing terbaru,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,operator_1,Produksi,Dani,2026-04-07 23:11:46,2026-04-08 02:08:46
e0b6a058,07 Apr 2026|2|2|CRCS L|K1AL L1|A046|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A046,N0104,Posisi Y,-0.332,Program CMM,Program belum di-update setelah ECR terakhir,Operator di-brief ulang terkait SOP setup dan mounting,Investigated,operator_1,Produksi,Hendra,2026-04-07 20:35:46,2026-04-07 21:05:46
c8fe0e87,07 Apr 2026|2|2|CRCS L|K1AL L1|A047|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A047,N0108,Posisi Y,-0.393,Mesin / Machine,Backlash axis melebihi batas toleransi,"Tool diganti, measurement diulang dan hasilnya OK",Investigated,produksi_a,Produksi,,2026-04-07 20:40:46,2026-04-07 22:52:46
f9c76b0d,07 Apr 2026|2|2|CRCS L|K1AL L1|B078|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,B078,N0123,Posisi Y,0.245,Operator,Part terbalik saat mounting ke fixture,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Open,produksi_a,Produksi,Andi,2026-04-07 21:47:46,2026-04-07 22:34:46
d3f2eb62,07 Apr 2026|2|2|CRCS L|K1AL L1|B075|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,B075,N0213,Posisi Y,-0.239,Setup / Fixture,Clamp longgar menyebabkan pergeseran part,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Investigated,operator_1,Produksi,Budi,2026-04-07 23:17:46,2026-04-07 23:53:46
e139f641,07 Apr 2026|2|2|CRCS L|K1AL L1|B054|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,B054,N0313,Posisi Y,-0.207,Tooling,Insert patah tidak terdeteksi sebelum produksi,,Resolved,produksi_a,Produksi,Budi,2026-04-07 21:01:46,2026-04-07 22:22:46
378a9f0a,07 Apr 2026|2|2|CRCS L|K1AL L1|A026|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A026,N0356,Posisi Y,-0.321,Setup / Fixture,Clamp longgar menyebabkan pergeseran part,Koordinasi dengan engineering untuk review toleransi di drawing,Investigated,produksi_b,Produksi,Budi,2026-04-07 21:37:46,2026-04-07 23:35:46
9655978f,07 Apr 2026|2|2|CRCS L|K1AL L1|B026|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,B026,N0356,Posisi Y,-0.321,Operator,Operator baru belum familiar dengan prosedur,Program CMM diupdate sesuai revisi drawing terbaru,Investigated,produksi_b,Produksi,Hendra,2026-04-07 20:24:46,2026-04-07 21:21:46
9049fbba,07 Apr 2026|2|2|CRCS L|K1AL L1|B081|Posisi X From B080,07 Apr 2026,2,2,CRCS L,K1AL L1,B081,N0372,Posisi X From B080,0.102,Material,Surface finish tidak memenuhi syarat pengukuran CMM,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Resolved,produksi_b,Produksi,Dani,2026-04-07 22:00:46,2026-04-07 22:17:46
7da094ac,07 Apr 2026|2|2|CRCS L|K1AL L1|B081|Posisi Y From B080,07 Apr 2026,2,2,CRCS L,K1AL L1,B081,N0372,Posisi Y From B080,0.154,Program CMM,Program belum di-update setelah ECR terakhir,Laporan diteruskan ke supervisor untuk tindak lanjut,Investigated,operator_3,Produksi,Andi,2026-04-07 20:22:46,2026-04-07 20:50:46
4f1d3ad1,07 Apr 2026|2|2|CRCS L|K1AL L1|-|-,07 Apr 2026,2,2,CRCS L,K1AL L1,-,N0377,-,0.107,Operator,Setup belum sesuai SOP yang berlaku,Fixture di-check dan di-realign ke posisi nominal,Investigated,operator_3,Produksi,Rini,2026-04-07 23:12:46,2026-04-07 23:55:46
363db0fb,07 Apr 2026|2|2|CRCS L|K1AL L1|-|-,07 Apr 2026,2,2,CRCS L,K1AL L1,-,N0396,-,0.253,Material,Material incoming di luar spec dimensi,Material dikembalikan ke gudang untuk inspeksi ulang,Open,operator_1,Produksi,Budi,2026-04-07 21:07:46,2026-04-07 21:08:46
e6332dd8,07 Apr 2026|2|2|CRCS L|K1AL L1|-|-,07 Apr 2026,2,2,CRCS L,K1AL L1,-,N0399,-,-0.06,Program CMM,Path program menyebabkan probe collision minor,,Open,produksi_b,Produksi,Budi,2026-04-07 22:33:46,2026-04-07 23:03:46
9e605328,07 Apr 2026|2|2|CRCS L|K1AL L1|A153|Posisi X,07 Apr 2026,2,2,CRCS L,K1AL L1,A153,N0430,Posisi X,0.365,Program CMM,Probe approach speed terlalu cepat,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,operator_2,Produksi,Wahyu,2026-04-07 23:38:46,2026-04-08 01:39:46
433c961a,07 Apr 2026|2|2|CRCS L|K1AL L1|A153|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A153,N0430,Posisi Y,0.266,Material,Surface finish tidak memenuhi syarat pengukuran CMM,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Resolved,operator_3,Produksi,,2026-04-07 23:19:46,2026-04-08 00:19:46
cfef23d6,07 Apr 2026|2|2|CRCS L|K1AL L1|A160|Posisi X,07 Apr 2026,2,2,CRCS L,K1AL L1,A160,N0434,Posisi X,0.387,Program CMM,Path program menyebabkan probe collision minor,Kalibrasi ulang mesin dijadwalkan untuk shift berikutnya,Investigated,operator_2,Produksi,Rini,2026-04-07 20:47:46,2026-04-07 22:43:46
b6ff8daa,07 Apr 2026|2|2|CRCS L|K1AL L1|A160|Posisi Y,07 Apr 2026,2,2,CRCS L,K1AL L1,A160,N0434,Posisi Y,0.589,Setup / Fixture,Posisi fixture tidak di-verify ulang setelah maintenance,Preventive maintenance dijadwalkan,Open,produksi_c,Produksi,Sari,2026-04-07 20:52:46,2026-04-07 22:31:46
